Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,Cincinnati Bengals,Ki-Jana Carter,RB,Penn State,Big Ten,
1,2,Jacksonville Jaguars,Tony Boselli,OT,USC,Pac-10,
1,3,Houston Oilers,Steve McNair,QB,Alcorn State,SWAC,
1,4,Washington Redskins,Michael Westbrook,WR,Colorado,Big Eight,
1,5,Carolina Panthers,Kerry Collins,QB,Penn State,Big Ten,
1,6,St. Louis Rams,Kevin Carter,DE,Florida,SEC,
1,7,Philadelphia Eagles,Mike Mamula,DE,Boston College,Big East,
1,8,Seattle Seahawks,Joey Galloway,WR,Ohio State,Big Ten,
1,9,New York Jets,Kyle Brady,TE,Penn State,Big Ten,
1,10,San Francisco 49ers,J.J. Stokes,WR,UCLA,Pac-10,
1,11,Minnesota Vikings,Derrick Alexander,DE,Florida State,ACC,
1,12,Tampa Bay Buccaneers,Warren Sapp,DT,Miami (FL),Big East,
1,13,New Orleans Saints,Mark Fields,LB,Washington State,Pac-10,
1,14,Buffalo Bills,Ruben Brown,G,Pittsburgh,Big East,
1,15,Indianapolis Colts,Ellis Johnson,DT,Florida,SEC,
1,16,New York Jets,Hugh Douglas,DE,Central State,Ind. (NAIA),
1,17,New York Giants,Tyrone Wheatley,RB,Michigan,Big Ten,
1,18,Oakland Raiders,Napoleon Kaufman,RB,Washington,Pac-10,
1,19,Jacksonville Jaguars,James Stewart,RB,Tennessee,SEC,
1,20,Detroit Lions,Luther Elliss,DT,Utah,WAC,
1,21,Chicago Bears,Rashaan Salaam,RB,Colorado,Big Eight,1994 Heisman Trophy Winner
1,22,Carolina Panthers,Tyrone Poole,CB,Fort Valley State,SIAC,
1,23,New England Patriots,Ty Law,CB,Michigan,Big Ten,
1,24,Minnesota Vikings,Korey Stringer,OT,Ohio State,Big Ten,
1,25,Miami Dolphins,Billy Milner,OT,Houston,SWC,
1,26,Atlanta Falcons,Devin Bush,S,Florida State,ACC,
1,27,Pittsburgh Steelers,Mark Bruener,TE,Washington,Pac-10,
1,28,Tampa Bay Buccaneers,Derrick Brooks,LB,Florida State,ACC,
1,29,Carolina Panthers,Blake Brockermeyer,OT,Texas,SWC,
1,30,Cleveland Browns,Craig Powell,LB,Ohio State,Big Ten,
1,31,Kansas City Chiefs,Trezelle Jenkins,OT,Michigan,Big Ten,From Jacksonville
1,32,Green Bay Packers,Craig Newsome,CB,Arizona State,Pac-10,From Carolina
2,33,New York Jets,Matt O'Dwyer,G,Northwestern,Big Ten,
2,34,San Diego Chargers,Terrance Shaw,CB,Stephen F. Austin,Southland,
2,35,Houston Oilers,Anthony Cook,DT,South Carolina State,MEAC,
2,36,Carolina Panthers,Shawn King,DE,Louisiana–Monroe,Southland,
2,37,Washington Redskins,Cory Raymer,C,Wisconsin,Big Ten,
2,38,St. Louis Rams,Zach Wiegert,OT,Nebraska,Big Eight,
2,39,Seattle Seahawks,Christian Fauria,TE,Colorado,Big Eight,
2,40,Jacksonville Jaguars,Brian DeMarco,DT,Michigan State,Big Ten,
2,41,Atlanta Falcons,Ron Davis,CB,Tennessee,SEC,
2,42,Minnesota Vikings,Orlando Thomas,S,Southwestern Louisiana,Big West,
2,43,Tampa Bay Buccaneers,Melvin Johnson,S,Kentucky,SEC,
2,44,New Orleans Saints,Ray Zellars,FB,Notre Dame,Ind. (I-A),
2,45,Buffalo Bills,Todd Collins,QB,Michigan,Big Ten,
2,46,Dallas Cowboys,Sherman Williams,RB,Alabama,SEC,
2,47,Arizona Cardinals,Frank Sanders,WR,Auburn,SEC,
2,48,Indianapolis Colts,Ken Dilger,TE,Illinois,Big Ten,
2,49,Oakland Raiders,Barret Robbins,C,TCU,SWC,
2,50,Philadelphia Eagles,Bobby Taylor,CB,Notre Dame,Ind. (I-A),
2,51,San Diego Chargers,Terrell Fletcher,RB,Wisconsin,Big Ten,
2,52,Chicago Bears,Pat Riley ,DT,Miami (FL),Big East,
2,53,Miami Dolphins,Andrew Greene,G,Indiana,Big Ten,
2,54,New York Giants,Scott Gragg,OT,Montana,Big Sky,
2,55,Minnesota Vikings,Corey Fuller,CB,Florida State,ACC,
2,56,Chicago Bears,Todd Sauerbrun,P,West Virginia,Big East,
2,57,New England Patriots,Ted Johnson,LB,Colorado,Big Eight,
2,58,Philadelphia Eagles,Barrett Brooks,OT,Kansas State,Big Eight,
2,59,Dallas Cowboys,Kendell Watkins,TE,Mississippi State,SEC,
2,60,Pittsburgh Steelers,Kordell Stewart,QB,Colorado,Big Eight,
2,61,San Diego Chargers,Jimmy Oliver ,WR,TCU,SWC,
2,62,St. Louis Rams,Jesse James ,G,Mississippi State,SEC,
2,63,Dallas Cowboys,Shane Hannah,G,Michigan State,Big Ten,
2,63,Carolina Panthers,Stripped of pick for talking to Steelers DC Dom Capers about the Panthers' head-coaching job,,,,
2,64,Jacksonville Jaguars,Bryan Schwartz,LB,Augustana (SD),NCIAC,
3,65,Green Bay Packers,Darius Holland,DT,Colorado,Big Eight,
3,66,Green Bay Packers,William Henderson,FB,North Carolina,ACC,
3,67,Houston Oilers,Chris Sanders,WR,Ohio State,Big Ten,
3,68,Washington Redskins,Darryl Pounds,CB,Nicholls State,Southland,
3,69,Cincinnati Bengals,Melvin Tuten,OT,Syracuse,Big East,
3,70,Detroit Lions,David Sloan,TE,New Mexico,WAC,
3,71,Jacksonville Jaguars,Chris Hudson,S,Colorado,Big Eight,
3,72,Philadelphia Eagles,Greg Jefferson,DE,Central Florida,Ind. (I-AA),
3,73,Green Bay Packers,Brian Williams,LB,USC,Pac-10,
3,74,New England Patriots,Curtis Martin,RB,Pittsburgh,Big East,
3,75,New Orleans Saints,Mike Verstegen,OT,Wisconsin,Big Ten,
3,76,Buffalo Bills,Marlon Kerner,CB,Ohio State,Big Ten,
3,77,Atlanta Falcons,Lorenzo Styles,LB,Ohio State,Big Ten,
3,78,Philadelphia Eagles,Chris T. Jones,WR,Miami (FL),Big East,
3,79,Indianapolis Colts,Zack Crockett,FB,Florida State,ACC,
3,80,Arizona Cardinals,Stoney Case,QB,New Mexico,WAC,
3,81,Kansas City Chiefs,Tamarick Vanover,WR,Florida State,ACC,
3,82,St. Louis Rams,Steve McLaughlin,K,Arizona,Pac-10,
3,83,Chicago Bears,Sean Harris,LB,Arizona,Pac-10,
3,84,Cleveland Browns,Eric Zeier,QB,Georgia,SEC,
3,85,New York Giants,Rodney Young,CB,LSU,SEC,
3,86,Oakland Raiders,Joe Aska,RB,Central Oklahoma,Lone Star,
3,87,Chicago Bears,Evan Pilgrim,G,BYU,WAC,
3,88,New England Patriots,Jimmy Hitchcock,CB,North Carolina,ACC,
3,89,Houston Oilers,Rodney Thomas,RB,Texas A&M,SWC,
3,90,Green Bay Packers,Antonio Freeman,WR,Virginia Tech,Big East,
3,91,Pittsburgh Steelers,Brenden Stai,G,Nebraska,Big Eight,
3,92,Dallas Cowboys,Charlie Williams,CB,Bowling Green,MAC,
3,93,San Diego Chargers,Don Sasa,DT,Washington State,Pac-10,
3,94,Cleveland Browns,Mike Frederick ,DE,Virginia,ACC,
3,95,Houston Oilers,Torey Hunter ,CB,Washington State,Pac-10,
3,96,Buffalo Bills,Damien Covington,LB,NC State,ACC,
3,97,Kansas City Chiefs,Troy Dumas,LB,Nebraska,Big Eight,
3,98,San Diego Chargers,Preston Harrison,G,Ohio State,Big Ten,
4,99,Jacksonville Jaguars,Rob Johnson,QB,USC,Pac-10,
4,100,San Diego Chargers,Chris Cowart ,LB,Florida State,ACC,
4,101,Houston Oilers,Michael Roan,TE,Wisconsin,Big Ten,
4,102,Cincinnati Bengals,Sam Shade,S,Alabama,SEC,
4,103,Washington Redskins,Larry Jones ,RB,Miami (FL),Big East,
4,104,San Diego Chargers,Aaron Hayden,RB,Tennessee,SEC,
4,105,Tampa Bay Buccaneers,Jerry Wilson,S,Southern,SWAC,
4,106,New York Jets,Melvin Hayes ,OT,Mississippi State,SEC,
4,107,New York Jets,Tyrone Davis,WR,Virginia,ACC,
4,108,New Orleans Saints,Dameian Jeffries,DE,Alabama,SEC,
4,109,Buffalo Bills,Ken Irvin,CB,Memphis,Ind. (I-A),
4,110,Dallas Cowboys,Eric Bjornson,WR,Washington,Pac-10,
4,111,Minnesota Vikings,Chad May,QB,Kansas State,Big Eight,
4,112,New England Patriots,Dave Wohlabaugh,C,Syracuse,Big East,
4,113,Buffalo Bills,Justin Armour,WR,Stanford,Pac-10,
4,114,Indianapolis Colts,Ray McElroy,S,Eastern Illinois,Gateway,
4,115,St. Louis Rams,Lovell Pinkney,TE,Texas,SWC,
4,116,Chicago Bears,Jack Jackson,WR,Florida,SEC,
4,117,Green Bay Packers,Jeff Miller ,OT,Ole Miss,SEC,
4,118,Oakland Raiders,Mike Morton,LB,North Carolina,ACC,
4,119,Philadelphia Eagles,Dave Barr,QB,California,Pac-10,
4,120,Pittsburgh Steelers,Oliver Gibson,DE,Notre Dame,Ind. (I-A),
4,121,Denver Broncos,Jamie Brown,OT,Florida A&M,MEAC,
4,122,Miami Dolphins,Pete Mitchell,TE,Boston College,Big East,
4,123,Jacksonville Jaguars,Mike Thompson,DT,Wisconsin,Big Ten,
4,124,Denver Broncos,Ken Brown,LB,Virginia Tech,Big East,
4,125,Pittsburgh Steelers,Donta Jones,LB,Nebraska,Big Eight,
4,126,Seattle Seahawks,Jason Kyle,LB,Arizona State,Pac-10,
4,127,San Francisco 49ers,Tim Hanshaw ,TE,BYU,WAC,
4,128,New York Giants,Rob Zatechka,G,Nebraska,Big Eight,
4,129,Dallas Cowboys,Alundis Brice,CB,Ole Miss,SEC,
4,130,Dallas Cowboys,Linc Harden ,LB,Oklahoma State,Big Eight,
4,131,Buffalo Bills,Tony Cline Jr.,TE,Stanford,Pac-10,
4,132,Carolina Panthers,Frank Garcia,C,Washington,Pac-10,
4,133,New York Giants,Ben Talley,LB,Tennessee,SEC,
4,134,Kansas City Chiefs,Steve Stenstrom,QB,Stanford,Pac-10,
5,135,Carolina Panthers,Michael Senters ,WR,Northwestern,Big Ten,
5,136,Cleveland Browns,Tau Pupua ,DT,Weber State,Big Sky,
5,137,Washington Redskins,Jamie Asher,TE,Louisville,Ind. (I-A),
5,138,Oakland Raiders,Matt Dyson,LB,Michigan,Big Ten,
5,139,Cincinnati Bengals,David Dunn,WR,Fresno State,WAC,
5,140,St. Louis Rams,Mike Scurlock,CB,Arizona,Pac-10,
5,141,Detroit Lions,Stephen Boyd,LB,Boston College,Big East,
5,142,New York Jets,Carl Greenwood ,CB,UCLA,Pac-10,
5,143,Tampa Bay Buccaneers,Clifton Abraham,CB,Florida State,ACC,
5,144,Buffalo Bills,John Holecek,LB,Illinois,Big Ten,
5,145,Atlanta Falcons,Roell Preston,WR,Ole Miss,SEC,
5,146,Denver Broncos,Phil Yeboah-Kodie,LB,Penn State,Big Ten,
5,147,Cleveland Browns,Mike Miller ,WR,Notre Dame,Ind. (I-A),
5,148,New Orleans Saints,William Strong ,DB,NC State,ACC,
5,149,Indianapolis Colts,Derek West ,OT,Colorado,Big Eight,
5,150,Arizona Cardinals,Cedric Davis ,CB,Tennessee State,OVC,
5,151,Pittsburgh Steelers,Lethon Flowers,S,Georgia Tech,ACC,
5,152,Washington Redskins,Rich Owens,DE,Lehigh,Patriot,
5,153,New York Giants,Roderick Mullen,CB,Grambling,SWAC,
5,154,Oakland Raiders,Jeff Kysar ,OT,Arizona State,Pac-10,
5,155,Kansas City Chiefs,Mike Pelton,DT,Auburn,SEC,
5,156,Detroit Lions,Kez McCorvey,WR,Florida State,ACC,
5,157,Minnesota Vikings,James Stewart ,RB,Miami (FL),Big East,
5,158,Miami Dolphins,Norman Hand,DT,Ole Miss,SEC,
5,159,Houston Oilers,Gary Walker,DE,Auburn,SEC,
5,160,Green Bay Packers,Jay Barker,QB,Alabama,SEC,
5,161,Pittsburgh Steelers,Lance Brown,S,Indiana,Big Ten,
5,162,San Diego Chargers,Omar Ellison ,WR,Florida State,ACC,
5,163,Detroit Lions,Ronald Cherry,OT,McNeese State,Southland,
5,164,Kansas City Chiefs,Jerrott Willard,LB,California,Pac-10,
5,165,Arizona Cardinals,Lance Scott,C,Utah,WAC,
5,166,Dallas Cowboys,Ed Hervey,WR,USC,Pac-10,
5,167,Arizona Cardinals,Tito Paul,CB,Ohio State,Big Ten,
5,168,Dallas Cowboys,Dana Howard,LB,Illinois,Big Ten,
5,169,Jacksonville Jaguars,Ryan Christopherson,RB,Wyoming,WAC,
5,170,Green Bay Packers,Travis Jervey,RB,The Citadel,SoCon,
5,171,Carolina Panthers,Andrew Peterson,OT,Washington,Pac-10,
6,172,Jacksonville Jaguars,Marcus Price,OT,LSU,SEC,
6,173,Green Bay Packers,Charlie Simmons,WR,Georgia Tech,ACC,
6,174,Houston Oilers,Hicham El-Mashtoub,C,Arizona,Pac-10,
6,175,Cincinnati Bengals,Ryan Grigson,OT,Purdue,Big Ten,
6,176,Washington Redskins,"Thure, BrianBrian Thure",OT,California,Pac-10,
6,177,San Diego Chargers,Troy Sienkiewicz ,G,New Mexico State,,
6,178,New York Jets,Eddie Mason,LB,North Carolina,ACC,
6,179,Tampa Bay Buccaneers,Wardell Rouse ,LB,Clemson,ACC,
6,180,Seattle Seahawks,Henry McMillian ,DT,Florida,SEC,
6,181,Atlanta Falcons,Travis Hall,DT,BYU,WAC,
6,182,Denver Broncos,Fritz Fequeire ,G,Iowa,Big Ten,
6,183,San Diego Chargers,Brandon Harrison ,WR,Howard Payne,ASC,
6,184,New Orleans Saints,Lee DeRamus,WR,Wisconsin,Big Ten,
6,185,Buffalo Bills,Shannon Clavelle,DT,Colorado,Big Eight,
6,186,Detroit Lions,Kevin Hickman,TE,Navy,Ind. (I-A),
6,187,Indianapolis Colts,Brian Gelzheiser ,LB,Penn State,Big Ten,
6,188,Carolina Panthers,Steve Strahan ,DT,Baylor,SWC,
6,189,Minnesota Vikings,John Solomon ,LB,Sam Houston State,Southland,
6,190,Oakland Raiders,Eli Herring,OT,BYU,WAC,
6,191,Carolina Panthers,Jerry Colquitt,QB,Tennessee,SEC,
6,192,Detroit Lions,Cory Schlesinger,FB,Nebraska,Big Eight,
6,193,Chicago Bears,Kenny Gales,CB,Wisconsin,Big Ten,
6,194,Miami Dolphins,Jeff Kopp,LB,USC,Pac-10,
6,195,New England Patriots,Dino Philyaw,RB,Oregon,Pac-10,
6,196,Denver Broncos,Terrell Davis,RB,Georgia,SEC,
6,197,San Diego Chargers,Craig Whelihan,QB,Pacific,Big West,
6,198,Chicago Bears,Carl Reeves,DE,NC State,ACC,
6,199,Pittsburgh Steelers,Barron Miles,CB,Nebraska,Big Eight,
6,200,San Diego Chargers,Tony Berti,OT,Colorado,Big Eight,
6,201,San Francisco 49ers,Antonio Armstrong,DE,Texas A&M,SWC,
6,202,Kansas City Chiefs,Bryan Proby,DT,Arizona State,Pac-10,
6,203,Seattle Seahawks,Eddie Goines ,WR,NC State,ACC,
6,204,New York Giants,Jamal Duff,DE,San Diego State,WAC,
6,205,Arizona Cardinals,Anthony Bridges ,CB,North Texas,Southland,
6,206,New York Giants,Charles Way,FB,Virginia,ACC,
6,207,Kansas City Chiefs,Tom Barndt,C,Pittsburgh,Big East,
6,207,Carolina Panthers,Stripped of pick for talking to Steelers DC Dom Capers about head-coaching job,,,,
6,208,Jacksonville Jaguars,Fred McCrary,FB,Mississippi State,SEC,
7,209,Carolina Panthers,Chad Cota,SS,Oregon,Pac-10,
7,210,Philadelphia Eagles,Kevin Bouie,RB,Mississippi State,SEC,
7,211,Houston Oilers,C. J. Richardson ,S,Miami (FL),Big East,
7,212,Arizona Cardinals,Billy Williams,WR,Tennessee,SEC,
7,213,Cincinnati Bengals,John Walsh,QB,BYU,WAC,
7,214,St. Louis Rams,Gerald McBurrows,SS,Kansas,Big Eight,
7,215,Tampa Bay Buccaneers,Steve Ingram ,G,Maryland,ACC,
7,216,Seattle Seahawks,Keif Bryant ,DE,Rutgers,Big East,
7,217,New York Jets,Curtis Ceaser ,WR,Grambling,SWAC,
7,218,Denver Broncos,Steve Russ,LB,Air Force,WAC,
7,219,Jacksonville Jaguars,Curtis Marsh,WR,Utah,WAC,
7,220,St. Louis Rams,Herman O'Berry,CB,Oregon,Pac-10,
7,221,Buffalo Bills,Tom Nütten,C,Western Michigan,MAC,
7,222,Denver Broncos,Byron Chamberlain,WR,Wayne State (NE),Ind. (Div. II),
7,223,Indianapolis Colts,Jessie Cox ,LB,Texas Southern,SWAC,
7,224,Arizona Cardinals,Wesley Leasy ,LB,Mississippi State,SEC,
7,225,New York Giants,Bryne Diehl ,P,Alabama,SEC,
7,226,Washington Redskins,Scott Turner,CB,Illinois,Big Ten,
7,227,Tampa Bay Buccaneers,Jeffrey Rodgers ,DE,Texas A&M–Kingsville,Lone Star,
7,228,Detroit Lions,Hessley Hempstead,G,Kansas,Big Eight,
7,229,Chicago Bears,Jamal Cox ,LB,Georgia Tech,ACC,
7,230,Green Bay Packers,Adam Timmerman,G,South Dakota State,NCC,
7,231,Cleveland Browns,A. C. Tellison ,WR,Miami (FL),Big East,
7,232,Minnesota Vikings,Jose White,LB,Howard,MEAC,
7,233,Miami Dolphins,Corey Swinson,DT,Hampton,CIAA,
7,234,New England Patriots,Carlos Yancy ,CB,Georgia,SEC,
7,235,Pittsburgh Steelers,Henry Bailey,WR,UNLV,Big West,
7,236,Dallas Cowboys,Oscar Sturgis,DE,North Carolina,ACC,
7,237,San Diego Chargers,Mark Montreuil,CB,Concordia (Quebec),OQIFC,
7,238,San Francisco 49ers,Herbert Coleman,DE,Trinity (IL),MSFA,
7,239,St. Louis Rams,Bronzell Miller,DE,Utah,WAC,
7,240,St. Louis Rams,J. T. Thomas,WR,Arizona State,Pac-10,
7,241,Arizona Cardinals,Chad Eaton,DT,Washington State,Pac-10,
7,242,New Orleans Saints,Travis Davis,FS,Notre Dame,Ind. (I-A),
7,243,Minnesota Vikings,Jason Fisk,DT,Stanford,Pac-10,
7,244,Buffalo Bills,Darick Holmes,RB,Portland State,Ind. (Div. II),
7,245,Atlanta Falcons,John Burrough,DE,Wyoming,WAC,
7,246,Miami Dolphins,Shannon Myers ,WR,Lenoir-Rhyne,SAC,
7,247,Pittsburgh Steelers,Cole Ford,K,USC,Pac-10,
7,248,Philadelphia Eagles,Howard Smothers,OT,Bethune-Cookman,MEAC,
7,249,Carolina Panthers,Michael Reed,CB,Boston College,Big East,
